OrderNumber,Sales Channel,OrderDate,DeliveryDate,DeliveryTime,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Unit Price,Unit Cost,Revenue,Gross Margin
SO - 000116,In-Store,2018-06-01,2018-07-02,31,5,11,354,25,3,1112.2,700.686,3336.6000000000004,1234.5420000000004
SO - 000117,In-Store,2018-06-01,2018-06-27,26,9,10,320,6,3,1239.5,904.8349999999999,3718.5,1003.9950000000003
SO - 000118,In-Store,2018-06-01,2018-06-14,13,8,30,21,3,4,984.9,393.96000000000004,3939.6,2363.7599999999998
SO - 000119,In-Store,2018-06-01,2018-06-15,14,5,5,349,20,4,5581.1,4130.014,22324.4,5804.344000000001
SO - 000120,Online,2018-06-01,2018-06-17,16,14,23,134,24,4,3095.4,1795.3319999999999,12381.6,5200.272000000001
SO - 000121,Wholesale,2018-06-01,2018-06-20,19,25,46,193,33,4,2278.0,1754.06,9112.0,2095.76
SO - 000122,In-Store,2018-06-02,2018-06-16,14,2,14,282,1,7,991.6,654.456,6941.2,2360.008
SO - 000123,In-Store,2018-06-02,2018-06-28,26,7,40,20,35,2,3979.8,3064.4460000000004,7959.6,1830.7079999999996
SO - 000124,Distributor,2018-06-02,2018-07-02,30,24,19,218,15,3,1969.8,866.712,5909.4,3309.2639999999997
SO - 000125,In-Store,2018-06-02,2018-06-24,22,4,15,173,13,1,268.0,131.32,268.0,136.68
SO - 000126,Online,2018-06-02,2018-07-01,29,18,46,110,24,7,174.20000000000002,95.81000000000002,1219.4,548.73
SO - 000127,In-Store,2018-06-02,2018-07-06,34,7,32,229,46,3,2988.2000000000003,2510.088,8964.6,1434.3359999999993
SO - 000128,In-Store,2018-06-02,2018-06-29,27,9,32,238,36,4,3999.9,2679.9330000000004,15999.6,5279.867999999999
SO - 000129,Distributor,2018-06-02,2018-06-22,20,20,22,97,37,3,5976.400000000001,2450.324,17929.2,10578.228000000001
SO - 000130,In-Store,2018-06-02,2018-06-29,27,8,5,103,32,5,2901.1,2378.9019999999996,14505.5,2610.9900000000016
SO - 000131,In-Store,2018-06-03,2018-07-05,32,8,29,305,23,7,6076.900000000001,2734.6050000000005,42538.3,23396.065
SO - 000132,Online,2018-06-03,2018-06-10,7,13,35,303,14,7,5735.2,4186.696,40146.4,10839.528000000002
SO - 000133,Online,2018-06-03,2018-07-10,37,19,46,217,7,3,3919.5,2077.335,11758.5,5526.495
SO - 000134,Online,2018-06-03,2018-07-05,32,17,42,362,46,1,6083.6,3832.668,6083.6,2250.9320000000002
SO - 000135,Wholesale,2018-06-03,2018-06-15,12,26,2,335,40,5,2566.1,1642.304,12830.5,4618.98
SO - 000136,Distributor,2018-06-03,2018-06-13,10,22,28,84,38,2,2278.0,1093.44,4556.0,2369.12
SO - 000137,In-Store,2018-06-03,2018-06-21,18,7,46,256,1,1,261.3,120.19800000000001,261.3,141.102
SO - 000138,Online,2018-06-03,2018-07-08,35,12,22,360,17,8,998.3000000000001,698.8100000000001,7986.400000000001,2395.92
SO - 000139,In-Store,2018-06-03,2018-06-21,18,4,34,90,40,6,3497.4,1958.5440000000003,20984.4,9233.135999999999
SO - 000140,In-Store,2018-06-03,2018-06-28,25,9,26,196,25,4,1132.3,486.88899999999995,4529.2,2581.6440000000002
SO - 000141,In-Store,2018-06-03,2018-06-17,14,7,26,40,2,7,2405.3,1587.4980000000003,16837.100000000002,5724.614
SO - 000142,Distributor,2018-06-03,2018-07-03,30,24,24,367,3,8,5701.7,3249.9689999999996,45613.6,19613.848
SO - 000143,Distributor,2018-06-04,2018-06-16,12,25,18,249,34,1,2452.2000000000003,1446.798,2452.2000000000003,1005.4020000000003
SO - 000144,In-Store,2018-06-04,2018-07-04,30,11,21,6,11,3,3095.4,2012.0100000000002,9286.2,3250.17
SO - 000145,Online,2018-06-04,2018-06-14,10,15,14,212,8,4,3865.9,2164.9040000000005,15463.6,6803.983999999999
SO - 000146,Distributor,2018-06-04,2018-06-15,11,23,3,37,11,8,2304.8,1382.88,18438.4,7375.360000000001
SO - 000147,Online,2018-06-04,2018-06-24,20,17,13,38,35,3,3195.9,1470.114,9587.7,5177.358
SO - 000148,Online,2018-06-04,2018-06-26,22,18,49,294,33,7,6452.1,5161.68,45164.700000000004,9032.940000000002
SO - 000149,Distributor,2018-06-05,2018-06-17,12,24,4,105,16,3,2003.3,921.518,6009.9,3245.3459999999995
SO - 000150,Distributor,2018-06-05,2018-07-07,32,23,20,17,8,8,3638.1,1455.24,29104.8,17462.879999999997
SO - 000151,In-Store,2018-06-05,2018-06-17,12,4,19,109,44,3,2278.0,1822.4,6834.0,1366.7999999999993
SO - 000152,Online,2018-06-05,2018-06-29,24,16,25,141,22,6,924.6,582.498,5547.6,2052.612
SO - 000153,Online,2018-06-05,2018-07-01,26,19,8,111,16,5,3926.2000000000003,3062.436,19631.0,4318.82
SO - 000154,Distributor,2018-06-05,2018-06-18,13,23,24,349,25,4,3825.7000000000003,2257.163,15302.800000000001,6274.148000000001
SO - 000155,Wholesale,2018-06-05,2018-07-08,33,27,13,360,4,3,2257.9,1377.319,6773.700000000001,2641.7430000000004
SO - 000156,Distributor,2018-06-06,2018-07-08,32,24,32,148,33,8,1112.2,756.296,8897.6,2847.232
SO - 000157,Online,2018-06-06,2018-06-23,17,19,28,103,45,8,3557.7000000000003,1814.4270000000001,28461.600000000002,13946.184000000001
SO - 000158,Online,2018-06-06,2018-06-12,6,13,8,59,45,3,2371.8,1233.3360000000002,7115.400000000001,3415.392
SO - 000159,Online,2018-06-06,2018-07-04,28,14,47,60,1,1,857.6,686.08,857.6,171.51999999999998
SO - 000160,In-Store,2018-06-07,2018-06-16,9,11,33,238,20,5,3892.7000000000003,2880.598,19463.5,5060.51
SO - 000161,In-Store,2018-06-07,2018-06-15,8,3,26,151,21,6,3477.3,1390.92,20863.800000000003,12518.280000000002
SO - 000162,Online,2018-06-07,2018-06-21,14,13,20,152,44,5,3738.6,2803.95,18693.0,4673.25
SO - 000163,Online,2018-06-07,2018-06-13,6,20,6,262,8,5,1072.0,589.6,5360.0,2412.0
SO - 000164,In-Store,2018-06-07,2018-07-02,25,5,40,120,46,7,2257.9,1761.162,15805.300000000001,3477.166000000001
SO - 000165,Online,2018-06-07,2018-06-13,6,18,23,233,46,3,1058.6000000000001,751.6060000000001,3175.8,920.982
SO - 000166,Online,2018-06-07,2018-06-25,18,13,38,77,39,4,2492.4,1296.048,9969.6,4785.408
SO - 000167,In-Store,2018-06-07,2018-06-21,14,4,30,69,11,5,3852.5,2465.6,19262.5,6934.5
SO - 000168,Distributor,2018-06-08,2018-06-25,17,23,42,215,37,8,241.20000000000002,132.66000000000003,1929.6000000000001,868.3199999999999
SO - 000169,In-Store,2018-06-08,2018-06-17,9,9,1,30,35,2,1051.9,494.39300000000003,2103.8,1115.0140000000001
SO - 000170,Distributor,2018-06-08,2018-06-19,11,25,11,169,10,5,227.8,107.066,1139.0,603.67
SO - 000171,Distributor,2018-06-08,2018-06-15,7,24,4,333,14,5,1078.7,506.989,5393.5,2858.5550000000003
SO - 000172,Wholesale,2018-06-08,2018-06-20,12,28,6,96,10,8,1005.0,743.7,8040.0,2090.3999999999996
SO - 000173,Distributor,2018-06-08,2018-07-09,31,24,17,289,45,5,2485.7000000000003,1317.4210000000003,12428.500000000002,5841.395
SO - 000174,In-Store,2018-06-08,2018-07-06,28,3,7,140,22,3,2659.9,2154.5190000000002,7979.700000000001,1516.143
SO - 000175,In-Store,2018-06-09,2018-07-03,24,1,1,107,1,1,2224.4,1579.324,2224.4,645.076
SO - 000176,In-Store,2018-06-09,2018-06-16,7,11,27,338,35,7,2472.3,1260.873,17306.100000000002,8479.989000000001
SO - 000177,In-Store,2018-06-09,2018-06-24,15,5,33,232,15,5,1011.7,799.243,5058.5,1062.2849999999999
SO - 000178,Wholesale,2018-06-09,2018-07-13,34,26,28,231,28,6,234.5,128.97500000000002,1407.0,633.1499999999999
SO - 000179,Online,2018-06-09,2018-06-17,8,13,42,158,11,4,261.3,143.71500000000003,1045.2,470.3399999999999
SO - 000180,Online,2018-06-09,2018-07-01,22,18,5,36,29,7,4006.6,2844.6859999999997,28046.2,8133.398000000005
SO - 000181,In-Store,2018-06-09,2018-07-13,34,3,10,206,28,7,1333.3,866.645,9333.1,3266.585000000001
SO - 000182,In-Store,2018-06-10,2018-07-09,29,10,34,255,15,5,167.5,90.45,837.5,385.25
SO - 000183,Online,2018-06-10,2018-07-02,22,14,23,336,27,7,3195.9,1821.6629999999998,22371.3,9619.659000000001
SO - 000184,Online,2018-06-10,2018-07-05,25,20,18,307,15,1,1051.9,809.9630000000001,1051.9,241.937
SO - 000185,Online,2018-06-10,2018-07-03,23,15,8,9,28,4,5447.1,3540.6150000000002,21788.4,7625.9400000000005
SO - 000186,Online,2018-06-10,2018-06-24,14,13,36,200,18,2,3182.5,1973.15,6365.0,2418.7
SO - 000187,In-Store,2018-06-11,2018-07-01,20,6,47,337,30,3,891.1,632.681,2673.3,775.2570000000001
SO - 000188,Online,2018-06-11,2018-06-19,8,15,27,158,31,2,3892.7000000000003,2724.89,7785.400000000001,2335.620000000001
SO - 000189,Online,2018-06-11,2018-06-16,5,13,5,249,8,2,3953.0,3360.0499999999997,7906.0,1185.9000000000005
SO - 000190,Online,2018-06-11,2018-07-07,26,20,38,185,5,2,924.6,545.514,1849.2,758.172
SO - 000191,Online,2018-06-11,2018-07-08,27,20,21,189,10,7,3430.4,1989.6319999999998,24012.8,10085.376
SO - 000192,Distributor,2018-06-11,2018-07-06,25,22,24,170,43,7,1152.4,622.296,8066.800000000001,3710.728000000001
SO - 000193,Distributor,2018-06-11,2018-06-24,13,21,25,130,37,4,1085.4,922.59,4341.6,651.2400000000002
SO - 000194,In-Store,2018-06-12,2018-06-22,10,5,11,149,15,5,5031.7,4025.36,25158.5,5031.700000000001
SO - 000195,Distributor,2018-06-12,2018-07-03,21,24,17,99,33,7,1092.1000000000001,436.8400000000001,7644.700000000001,4586.82
SO - 000196,Wholesale,2018-06-12,2018-06-27,15,27,5,21,17,7,187.6,144.452,1313.2,302.03600000000006
SO - 000197,Online,2018-06-12,2018-07-16,34,18,30,90,1,4,3993.2000000000003,2835.172,15972.800000000001,4632.112000000001
SO - 000198,Online,2018-06-12,2018-06-18,6,14,9,360,15,5,2472.3,1433.934,12361.5,5191.83
SO - 000199,In-Store,2018-06-12,2018-07-14,32,4,47,23,47,4,1206.0,844.1999999999999,4824.0,1447.2000000000003
SO - 000200,Online,2018-06-12,2018-06-29,17,20,5,144,40,5,1728.6000000000001,985.302,8643.0,3716.49
SO - 000201,Wholesale,2018-06-12,2018-06-29,17,28,23,134,23,7,1983.2,1447.736,13882.4,3748.2479999999996
SO - 000202,Online,2018-06-12,2018-07-14,32,20,14,180,11,2,5313.1,2656.55,10626.2,5313.1
SO - 000203,Distributor,2018-06-12,2018-06-25,13,20,44,58,23,5,871.0,566.15,4355.0,1524.25
SO - 000204,Online,2018-06-13,2018-07-01,18,12,38,175,43,2,2532.6,2051.406,5065.2,962.3879999999999
SO - 000205,Online,2018-06-13,2018-06-26,13,14,14,95,1,4,5916.1,4673.719,23664.4,4969.524000000001
SO - 000206,Online,2018-06-13,2018-07-01,18,13,34,231,31,1,2887.7000000000003,1443.8500000000001,2887.7000000000003,1443.8500000000001
SO - 000207,In-Store,2018-06-13,2018-06-22,9,1,13,199,11,7,1855.9,1447.602,12991.300000000001,2858.086000000001
SO - 000208,In-Store,2018-06-13,2018-06-19,6,2,5,58,39,5,207.70000000000002,135.00500000000002,1038.5,363.4749999999999
SO - 000209,In-Store,2018-06-13,2018-07-06,23,2,2,345,3,3,1058.6000000000001,772.7780000000001,3175.8,857.4659999999999
SO - 000210,Online,2018-06-13,2018-07-13,30,13,17,241,20,7,958.1,517.374,6706.7,3085.0819999999994
SO - 000211,In-Store,2018-06-13,2018-07-18,35,6,40,186,27,7,2659.9,1675.737,18619.3,6889.141
SO - 000212,In-Store,2018-06-13,2018-07-13,30,7,15,144,8,3,2217.7000000000003,1707.6290000000004,6653.1,1530.2129999999997
SO - 000213,Online,2018-06-14,2018-06-20,6,20,12,40,11,1,1715.2,857.6,1715.2,857.6
SO - 000214,In-Store,2018-06-14,2018-07-09,25,6,25,288,32,7,3932.9,1691.147,27530.3,15692.271
SO - 000215,In-Store,2018-06-14,2018-06-20,6,2,13,169,40,2,2546.0,1909.5,5092.0,1273.0
SO - 000216,Online,2018-06-14,2018-07-01,17,15,18,277,21,1,837.5,603.0,837.5,234.5
SO - 000217,Online,2018-06-14,2018-07-05,21,16,3,219,12,3,1809.0,1302.48,5427.0,1519.56
SO - 000218,Wholesale,2018-06-14,2018-07-03,19,26,25,306,11,8,857.6,514.56,6860.8,2744.3200000000006
SO - 000219,In-Store,2018-06-14,2018-07-07,23,8,11,7,22,6,1748.7,1101.681,10492.2,3882.1140000000005
SO - 000220,Wholesale,2018-06-14,2018-06-17,3,28,44,78,4,1,1266.3,582.498,1266.3,683.8019999999999
SO - 000221,In-Store,2018-06-14,2018-06-22,8,3,30,28,9,5,5058.5,3591.535,25292.5,7334.825000000001
SO - 000222,Distributor,2018-06-14,2018-07-06,22,22,38,39,6,7,958.1,795.223,6706.7,1140.1390000000001
SO - 000223,Online,2018-06-14,2018-07-14,30,19,47,122,2,8,1802.3,756.966,14418.4,8362.671999999999
SO - 000224,In-Store,2018-06-15,2018-07-16,31,4,17,48,32,4,6298.0,4534.5599999999995,25192.0,7053.760000000002
SO - 000225,Online,2018-06-15,2018-07-06,21,18,28,1,30,1,2499.1,1824.3429999999998,2499.1,674.7570000000001
SO - 000226,In-Store,2018-06-15,2018-06-23,8,8,5,198,23,3,871.0,705.51,2613.0,496.47000000000025
SO - 000227,In-Store,2018-06-15,2018-07-18,33,1,32,242,5,1,750.4,360.19199999999995,750.4,390.208
SO - 000228,Wholesale,2018-06-15,2018-06-27,12,27,21,200,14,8,763.8000000000001,504.10800000000006,6110.400000000001,2077.536
SO - 000229,In-Store,2018-06-15,2018-07-02,17,5,49,304,25,6,844.2,565.614,5065.200000000001,1671.5160000000005
SO - 000230,In-Store,2018-06-15,2018-07-14,29,2,6,31,27,7,261.3,112.35900000000001,1829.1000000000001,1042.587
SO - 000231,Online,2018-06-15,2018-07-16,31,19,47,71,33,2,3999.9,2359.941,7999.8,3279.9180000000006
SO - 000232,In-Store,2018-06-15,2018-07-03,18,4,32,250,18,6,1112.2,811.9060000000001,6673.200000000001,1801.7640000000001
SO - 000233,In-Store,2018-06-15,2018-07-04,19,10,18,167,2,2,2633.1,1843.1699999999998,5266.2,1579.8600000000001
SO - 000234,Distributor,2018-06-15,2018-07-13,28,22,8,132,4,6,1018.4,631.408,6110.4,2321.9519999999993
SO - 000235,In-Store,2018-06-15,2018-06-30,15,1,24,56,21,4,5219.3,3444.7380000000003,20877.2,7098.248
SO - 000236,Distributor,2018-06-15,2018-07-20,35,21,11,259,26,1,3999.9,2359.941,3999.9,1639.9590000000003
SO - 000237,Online,2018-06-16,2018-07-01,15,20,50,341,25,5,1721.9,1084.797,8609.5,3185.5149999999994
SO - 000238,In-Store,2018-06-16,2018-07-12,26,10,7,195,37,6,737.0,456.94,4422.0,1680.3600000000001
SO - 000239,Online,2018-06-16,2018-07-15,29,19,2,33,40,3,1219.4,695.058,3658.2000000000003,1573.0260000000003
SO - 000240,In-Store,2018-06-16,2018-07-17,31,2,18,279,41,8,891.1,712.8800000000001,7128.8,1425.7599999999993
SO - 000241,In-Store,2018-06-16,2018-07-18,32,7,28,148,9,1,978.2,743.432,978.2,234.76800000000003
SO - 000242,In-Store,2018-06-16,2018-07-10,24,11,47,170,17,1,3946.3,1657.446,3946.3,2288.8540000000003
SO - 000243,In-Store,2018-06-16,2018-07-06,20,3,27,181,38,2,1299.8,922.858,2599.6,753.884
SO - 000244,Online,2018-06-17,2018-07-24,37,19,21,77,12,4,5815.6,2791.4880000000003,23262.4,12096.448
SO - 000245,In-Store,2018-06-17,2018-07-10,23,3,43,122,23,6,1092.1000000000001,655.2600000000001,6552.6,2621.04
SO - 000246,Distributor,2018-06-17,2018-07-17,30,24,42,36,18,6,1072.0,643.1999999999999,6432.0,2572.8
SO - 000247,Online,2018-06-17,2018-07-09,22,17,34,217,16,5,4020.0,2653.2000000000003,20100.0,6833.999999999998
SO - 000248,Online,2018-06-17,2018-07-15,28,20,37,63,12,4,984.9,669.7320000000001,3939.6,1260.6719999999996
SO - 000249,Distributor,2018-06-17,2018-07-04,17,21,50,341,7,7,227.8,100.232,1594.6000000000001,892.9760000000001
SO - 000250,In-Store,2018-06-17,2018-06-26,9,3,17,36,35,3,3993.2000000000003,3314.356,11979.6,2036.5319999999992
SO - 000251,Online,2018-06-17,2018-07-08,21,12,25,163,26,4,221.1,185.724,884.4,141.50400000000002
SO - 000252,Online,2018-06-18,2018-07-14,26,12,21,101,43,6,3356.7000000000003,2819.628,20140.2,3222.4320000000007
SO - 000253,In-Store,2018-06-18,2018-07-15,27,1,35,321,12,1,1701.8,1157.2240000000002,1701.8,544.5759999999998
SO - 000254,In-Store,2018-06-18,2018-07-09,21,3,9,276,8,3,2566.1,2181.185,7698.299999999999,1154.744999999999
SO - 000255,In-Store,2018-06-18,2018-06-26,8,6,22,101,5,4,221.1,126.02699999999999,884.4,380.29200000000003
SO - 000256,In-Store,2018-06-18,2018-07-05,17,5,28,248,4,1,1782.2,980.2100000000002,1782.2,801.9899999999999
SO - 000257,Distributor,2018-06-18,2018-07-16,28,24,41,95,35,8,2003.3,801.32,16026.4,9615.84
SO - 000258,Distributor,2018-06-18,2018-07-16,28,20,28,33,5,5,2385.2000000000003,1502.6760000000002,11926.000000000002,4412.620000000001
SO - 000259,Online,2018-06-18,2018-07-17,29,13,22,12,21,1,2231.1,1784.88,2231.1,446.2199999999998
SO - 000260,In-Store,2018-06-18,2018-07-07,19,10,26,119,35,1,1005.0,412.04999999999995,1005.0,592.95
SO - 000261,Distributor,2018-06-18,2018-07-19,31,23,12,290,40,7,2693.4,1939.248,18853.8,5279.0639999999985
SO - 000262,Online,2018-06-18,2018-07-11,23,17,31,110,36,4,1105.5,652.245,4422.0,1813.02
SO - 000263,Online,2018-06-19,2018-07-17,28,17,25,87,39,1,1909.5,1088.415,1909.5,821.085
SO - 000264,Distributor,2018-06-19,2018-06-26,7,21,35,177,38,7,1118.9,850.364,7832.300000000001,1879.7520000000004
SO - 000265,In-Store,2018-06-19,2018-07-03,14,11,45,94,8,7,1038.5,758.105,7269.5,1962.7649999999994
SO - 000266,In-Store,2018-06-19,2018-07-04,15,1,19,126,19,6,6324.8,4300.8640000000005,37948.8,12143.616000000002
SO - 000267,In-Store,2018-06-19,2018-07-01,12,3,16,17,9,7,1005.0,502.5,7035.0,3517.5
SO - 000268,In-Store,2018-06-19,2018-07-17,28,3,15,178,2,5,1293.1000000000001,659.4810000000001,6465.500000000001,3168.0950000000003
SO - 000269,In-Store,2018-06-19,2018-07-26,37,1,8,76,36,6,844.2,540.288,5065.200000000001,1823.4720000000007
SO - 000270,In-Store,2018-06-19,2018-07-14,25,6,27,318,1,4,247.9,195.841,991.6,208.236
SO - 000271,Distributor,2018-06-19,2018-06-28,9,21,12,217,21,7,174.20000000000002,139.36,1219.4,243.88
SO - 000272,In-Store,2018-06-20,2018-07-17,27,2,30,278,12,6,1025.1000000000001,707.3190000000001,6150.6,1906.6859999999997
SO - 000273,Distributor,2018-06-20,2018-07-06,16,21,19,341,23,3,3068.6,2301.45,9205.8,2301.45
SO - 000274,Online,2018-06-20,2018-07-11,21,16,44,122,3,2,241.20000000000002,115.77600000000001,482.40000000000003,250.848
SO - 000275,In-Store,2018-06-20,2018-07-17,27,11,24,200,47,1,174.20000000000002,139.36,174.20000000000002,34.84
SO - 000276,In-Store,2018-06-20,2018-07-13,23,3,10,30,37,2,2505.8,1804.1760000000002,5011.6,1403.248
SO - 000277,Distributor,2018-06-20,2018-07-20,30,25,35,233,31,7,2599.6,1637.748,18197.2,6732.964
SO - 000278,Online,2018-06-20,2018-06-28,8,18,38,151,28,6,2278.0,1503.48,13668.0,4647.119999999999
SO - 000279,Distributor,2018-06-21,2018-07-21,30,24,31,353,25,2,1092.1000000000001,589.7340000000002,2184.2000000000003,1004.732
SO - 000280,Wholesale,2018-06-21,2018-07-07,16,25,40,43,7,5,1139.0,933.9799999999999,5695.0,1025.1000000000004
SO - 000281,In-Store,2018-06-21,2018-07-10,19,4,9,339,47,2,1675.0,1072.0,3350.0,1206.0
SO - 000282,Wholesale,2018-06-21,2018-07-02,11,26,41,228,26,2,1011.7,687.9560000000001,2023.4,647.4879999999998
SO - 000283,Wholesale,2018-06-21,2018-07-21,30,27,11,128,46,7,938.0,412.72,6566.0,3676.96
SO - 000284,Wholesale,2018-06-21,2018-07-26,35,28,48,55,2,8,2566.1,1052.1009999999999,20528.8,12111.992
SO - 000285,Distributor,2018-06-22,2018-07-24,32,24,4,177,33,5,871.0,374.53,4355.0,2482.3500000000004
SO - 000286,In-Store,2018-06-22,2018-07-21,29,2,4,81,18,1,2485.7000000000003,1789.7040000000002,2485.7000000000003,695.9960000000001
SO - 000287,In-Store,2018-06-22,2018-07-17,25,1,40,365,41,4,2345.0,1922.8999999999999,9380.0,1688.4000000000005
SO - 000288,Online,2018-06-22,2018-07-21,29,15,19,48,27,2,1118.9,749.6630000000001,2237.8,738.4739999999999
SO - 000289,In-Store,2018-06-22,2018-07-02,10,11,24,11,42,4,1996.6000000000001,1397.6200000000001,7986.400000000001,2395.92
SO - 000290,In-Store,2018-06-22,2018-07-20,28,11,6,127,39,1,710.2,390.61000000000007,710.2,319.59
SO - 000291,Online,2018-06-22,2018-07-22,30,13,6,201,35,4,3979.8,1790.91,15919.2,8755.560000000001
SO - 000292,In-Store,2018-06-22,2018-07-13,21,8,9,339,28,3,1025.1000000000001,440.79300000000006,3075.3,1752.921
SO - 000293,In-Store,2018-06-22,2018-07-09,17,3,3,198,9,7,2519.2000000000003,1309.9840000000002,17634.4,8464.512
SO - 000294,Online,2018-06-22,2018-07-25,33,15,36,150,2,7,5031.7,3471.8729999999996,35221.9,10918.789000000004
SO - 000295,Online,2018-06-23,2018-07-04,11,19,27,311,46,1,1829.1000000000001,768.222,1829.1000000000001,1060.8780000000002
SO - 000296,In-Store,2018-06-23,2018-07-22,29,5,29,304,25,5,1072.0,900.48,5360.0,857.6000000000004
SO - 000297,In-Store,2018-06-23,2018-07-14,21,5,11,247,32,1,2539.3,1828.296,2539.3,711.0040000000001
SO - 000298,In-Store,2018-06-23,2018-07-18,25,11,24,265,41,1,3899.4,2027.688,3899.4,1871.712
SO - 000299,In-Store,2018-06-24,2018-06-30,6,5,38,366,37,3,5045.1,3380.2170000000006,15135.300000000001,4994.648999999999
SO - 000300,Online,2018-06-24,2018-07-15,21,19,38,125,14,8,1005.0,522.6,8040.0,3859.2
SO - 000301,Wholesale,2018-06-24,2018-07-17,23,27,20,182,47,7,2438.8,1219.4,17071.600000000002,8535.800000000001
SO - 000302,In-Store,2018-06-25,2018-07-13,18,11,46,152,24,4,3336.6,2035.3259999999998,13346.4,5205.0960000000005
SO - 000303,In-Store,2018-06-25,2018-07-15,20,1,38,256,25,4,1098.8,857.064,4395.2,966.944
SO - 000304,Online,2018-06-25,2018-07-21,26,19,5,66,20,2,1902.8,970.428,3805.6,1864.744
SO - 000305,Online,2018-06-25,2018-07-13,18,17,32,156,33,4,3477.3,2190.699,13909.2,5146.404
SO - 000306,Wholesale,2018-06-26,2018-07-17,21,26,36,200,10,1,2599.6,1481.772,2599.6,1117.828
SO - 000307,Online,2018-06-26,2018-07-22,26,12,1,299,7,1,1078.7,506.989,1078.7,571.711
SO - 000308,Online,2018-06-26,2018-07-19,23,17,22,199,31,5,1045.2,533.052,5226.0,2560.74
SO - 000309,Online,2018-06-26,2018-07-22,26,15,21,157,1,2,1125.6000000000001,787.9200000000001,2251.2000000000003,675.3600000000001
SO - 000310,In-Store,2018-06-26,2018-07-18,22,1,14,187,22,8,1105.5,762.795,8844.0,2741.6400000000003
SO - 000311,Online,2018-06-26,2018-08-03,38,18,50,84,46,1,2606.3,1668.0320000000002,2606.3,938.268
SO - 000312,Distributor,2018-06-26,2018-07-11,15,22,41,228,25,8,227.8,95.676,1822.4,1056.9920000000002
SO - 000313,Distributor,2018-06-26,2018-07-24,28,22,35,180,29,7,167.5,123.95,1172.5,304.85
SO - 000314,In-Store,2018-06-26,2018-07-11,15,7,21,250,16,3,1145.7,538.479,3437.1000000000004,1821.6630000000002
SO - 000315,In-Store,2018-06-26,2018-07-13,17,4,37,326,36,7,2599.6,2157.6679999999997,18197.2,3093.524000000003
SO - 000316,Distributor,2018-06-27,2018-07-17,20,24,14,136,18,1,3939.6,1969.8,3939.6,1969.8
SO - 000317,In-Store,2018-06-27,2018-07-21,24,2,18,112,37,8,2881.0,1584.5500000000002,23048.0,10371.599999999999
SO - 000318,In-Store,2018-06-27,2018-07-06,9,3,22,108,43,2,3852.5,2003.3000000000002,7705.0,3698.3999999999996
SO - 000319,Wholesale,2018-06-27,2018-07-10,13,27,48,56,42,2,1139.0,546.72,2278.0,1184.56
SO - 000320,Distributor,2018-06-27,2018-07-09,12,23,7,195,25,4,2519.2000000000003,2040.5520000000004,10076.800000000001,1914.5919999999996
SO - 000321,In-Store,2018-06-27,2018-07-23,26,9,33,82,42,1,1192.6000000000001,703.634,1192.6000000000001,488.9660000000001
SO - 000322,In-Store,2018-06-27,2018-07-09,12,5,18,215,14,5,2412.0,1013.04,12060.0,6994.8
SO - 000323,In-Store,2018-06-27,2018-07-22,25,9,6,134,47,7,2479.0,2057.5699999999997,17353.0,2950.010000000002
